,city,hotel_name,booking_url,booking_reviews_score,description,latitude,longitude
80,Dijon,Hôtel des Ducs,https://www.booking.com/hotel/fr/des-ducs-dijon.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=f40585cfadec0582&srepoch=1659553312&from_sustainable_property_sr=1&from=searchresults,8.5,"Situé à 50 mètres du palais des ducs, dans le centre historique de Dijon classé au patrimoine mondial de l'UNESCO, l'Hôtel des Ducs propose un bar ainsi qu'une connexion Wi-Fi gratuite. Chaque matin, il sert un petit-déjeuner buffet. D'autre part, vous pourrez vous détendre en prenant une boisson sur la terrasse.
Les chambres de l'Hôtel des Ducs sont desservies par un ascenseur et dotées d'un téléphone, d'une télévision à écran plat ainsi que d'une salle de bains privative pourvue d'une baignoire ou d'une douche. Certaines sont climatisées.
L'Hôtel des Ducs se trouve à moins de 50 mètres du musée des Beaux-Arts, de l'Opéra et du quartier commerçant de la ville. La Route des Vins de Bourgogne commence à seulement 10 minutes en voiture. ",47.32170512,5.04365332
81,Dijon,Hôtel République,https://www.booking.com/hotel/fr/republique-dijon.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=f40585cfadec0582&srepoch=1659553312&from=searchresults,8.1,"Cette auberge du XVIIIe siècle est située dans une rue calme du centre historique de Dijon. Elle vous accueille dans un cadre moderne et élégant avec connexion Wi-Fi gratuite.
L'hôtel République propose des chambres à l'atmosphère chaleureuse, décorées dans des couleurs chaudes. Les chambres sont équipées d'une salle de bains privative et d'une télévision à écran plat.
Vous pourrez vous détendre sur la terrasse de l'hôtel République. Un petit-déjeuner buffet est servi chaque matin.
La gare de Dijon-Ville est accessible en moins de 15 minutes à pied ou en 5 minutes de tramway depuis l'arrêt République. L'établissement est situé à 900 mètres du musée des beaux-arts de Dijon et à 8 minutes à pied de la cathédrale. ",47.32570141,5.04478052
82,Dijon,Authentic Flat in Dijon,https://www.booking.com/hotel/fr/luxury-flat-in-dijon.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=f40585cfadec0582&srepoch=1659553312&from_sustainable_property_sr=1&from=searchresults,8.8,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Authentic Flat in Dijon ! 
 pour économiser.
Occupant un hôtel du XVIIe siècle, l'établissement Authentic Flat in Dijon est situé dans le centre historique de Dijon et propose des appartements de luxe indépendants. Affichant une décoration individuelle et colorée, ils sont équipés d'une connexion Wi-Fi gratuite.
Tous les appartements du Authentic Flat in Dijon comprennent une ou deux chambres et un salon. Ils sont dotés d'un ordinateur portable, d'une télévision par câble à écran plat et d'un bureau. Chacun possède une salle de bains privative pourvue d'un sèche-cheveux, d'articles de toilette gratuits et d'une douche.
Vous pourrez préparer vos repas en utilisant la cuisine de l'appartement. Elle comporte des plaques de cuisson, un réfrigérateur et un four micro-ondes. Un lave-vaisselle, une bouilloire électrique et un coin repas sont également à votre disposition. Vous trouverez des restaurants à seulement 50 mètres.
Un lave-linge, du matériel de repassage et du linge de lit sont fournis. Un parking public est disponible gratuitement à proximité et le musée de Magnin se trouve à 130 mètres de l'établissement. ",47.32064509,5.04175365
83,Dijon,Hôtel Montchapet Dijon Centre,https://www.booking.com/hotel/fr/montchapet.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=f40585cfadec0582&srepoch=1659553312&from_sustainable_property_sr=1&from=searchresults,8.2,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Montchapet Dijon Centre ! 
 pour économiser.
L'Hotel Montchapet est situé au cœur de Dijon, à seulement 10 minutes à pied de la gare de Dijon-Ville. Il propose des chambres insonorisées et une connexion Wi-Fi gratuite.
Toutes les chambres de l'Hotel Montchapet sont décorées de façon moderne et dotées d'une salle de bains privative.
Vous pourrez vous détendre en buvant un verre au bar de l'hôtel après une journée de visites. L'hôtel se trouve à moins de 10 minutes à pied de la cathédrale de Dijon. ",47.32742402,5.03345892
84,Dijon,Chambre d'hôtes Le Petit Tertre,https://www.booking.com/hotel/fr/le-petit-tertre.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=f40585cfadec0582&srepoch=1659553312&from=searchresults,8.9,"L'établissement le Petit Tertre est situé dans le centre de Dijon, à 3 minutes à pied du palais des ducs de Bourgogne. Il propose une connexion Wi-Fi gratuite.
Tous les appartements sont entièrement équipés dans un style du XVIIIe siècle. L'appartement Empire de style Napoléon, offre une vue sur la cour.
Le petit-déjeuner peut être servi dans votre chambre.
L'établissement se trouve à quelques minutes de marche du musée des beaux-arts et de l'église Notre-Dame de Dijon. ",47.32396148,5.04365131
85,Dijon,Kyriad Hotel Dijon Gare,https://www.booking.com/hotel/fr/kyriad-gare.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=f40585cfadec0582&srepoch=1659553312&from=searchresults,7.2,"Le Kyriad Hotel Dijon Gare vous accueille à 120 mètres de la gare de Dijon. Il dispose d'une piscine intérieure et de chambres insonorisées avec une connexion Wi-Fi gratuite.
Les chambres sont climatisées et comprennent un plateau/bouilloire, une télévision par satellite, ainsi qu'une salle de bains privative.
Une salle de sport et un sauna sont disponibles sur réservation.
La réception de l'hôtel est ouverte 24h/24 et 7j/7. L'établissement comporte en outre 2 salons de télévision au rez-de-chaussée, ainsi qu'une borne Internet.
L'hôtel possède un bar pouvant aussi accueillir les grands groupes 24h/24, sur demande. Vous aurez droit à un petit-déjeuner buffet chaud tous les matins.
Vous séjournerez à 7 km de l'aéroport de Dijon-Bourgogne. Un parking couvert est accessible à proximité, moyennant des frais supplémentaires. Vous rejoindrez le Palais des Congrès en 7 minutes de tramway, tandis que le campus universitaire et le centre commercial la Toison d'Or sont à moins de 20 minutes. ",47.32279604,5.02989829
86,Dijon,Aparthotel Adagio Access Dijon République,https://www.booking.com/hotel/fr/aparthotel-adagio-access-dijon-republique.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=f40585cfadec0582&srepoch=1659553312&from=searchresults,8.4,"Situé dans le centre-ville de Dijon, à seulement 3 minutes à pied de la place de la République, l'Aparthotel Adagio Access Dijon République propose une réception ouverte 24h/24 et une connexion Wi-Fi gratuite dans l'ensemble de ses locaux. Le musée des Beaux-Arts est à 15 minutes à pied.
Climatisées, tous les hébergements disposent d'une pièce à vivre avec une télévision, d'un bureau et d'une salle de bains munie d'un sèche-cheveux. Leur cuisine entièrement équipée possède un micro-ondes, des plaques de cuisson et un réfrigérateur.
Vous pourrez préparer des repas faits maison dans le studio ou l'appartement. Un petit-déjeuner buffet est servi chaque matin dans la salle prévue à cet effet de l'établissement, tandis que les enfants de 4 à 11 ans profiteront de tarifs réduits. Vous trouverez des épiceries et des restaurants à quelques minutes à pied.
Classé bâtiment respectueux de l'environnement en raison de son toit photovoltaïque, l'appart'hôtel est facilement accessible en transports en commun. Le tramway et le bus L3 assurent un accès direct à la gare de Dijon, qui est à 500 mètres du parc des expositions de Dijon Congrexpo. Vous pourrez utiliser le parking privé sur place, moyennant des frais supplémentaires. ",47.325526,5.0494804
87,Dijon,Hôtel Restaurant initial by balladins Dijon Nord,https://www.booking.com/hotel/fr/hotel-balladins-dijon-nord-superior.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=f40585cfadec0582&srepoch=1659553312&from_sustainable_property_sr=1&from=searchresults,7.5,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Restaurant initial by balladins Dijon Nord ! 
 pour économiser.
Situé à 12 minutes en voiture du centre-ville de Dijon, l'Hôtel Balladins Dijon Nord possède des chambres climatisées avec connexion Wi-Fi gratuite, des salles de réunion et un restaurant. Un parking privé est disponible gratuitement sur place.
Décorées avec simplicité, les chambres insonorisées de l’Hôtel Balladins Dijon Nord comprennent une salle de bains privative et une télévision à écran LCD avec la chaîne Canal+. Toutes les chambres sont desservies par un ascenseur et dotées d’une connexion Wi-Fi gratuite. Certaines sont adaptées aux familles ou aux groupes d’amis.
Un petit-déjeuner buffet est servi chaque matin dans la salle à manger. Vous pourrez boire un verre au bar de l’hôtel et prendre vos repas au restaurant, qui propose un menu à la carte comprenant des spécialités bourguignonnes, des grillades, des salades et des pizzas.
La gare de Dijon se trouve à 6 km et l'aéroport de Dijon-Bourgogne est accessible en 20 minutes de route. Le Palais des Sports est à 9 minutes en voiture et le musée des Beaux-Arts se situe à 5 km. ",47.35121566,5.0696674
88,Dijon,City Loft Apparthotel,https://www.booking.com/hotel/fr/city-loft.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=f40585cfadec0582&srepoch=1659553312&from=searchresults,8.2,"Idéalement situé au cœur du quartier piétonnier, le City Loft Apparthotel se trouve près du palais des ducs.
Anciennement connu comme le magasin Au Pauvre Diable, le bâtiment possède 53 appartements joliment meublés, allant d’appartements simples à des appartements quadruples. Chaque appartement est équipé de la climatisation, d'une kitchenette complète avec plaques de cuisson, réfrigérateur et micro-ondes, d'un coffre-fort et d'une télévision.
Pendant votre séjour à Dijon, prenez le temps de découvrir les célèbres produits de la ville, tels que la moutarde, le pain d’épice et la crème de cassis. La ville compte également un auditorium et une université réputée. ",47.32268695,5.03817558
89,Dijon,"Holiday Inn Express Dijon, an IHG Hotel",https://www.booking.com/hotel/fr/holiday-inn-express-dijon.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=f40585cfadec0582&srepoch=1659553312&from=searchresults,8.1,"Situé à Saint-Apollinaire, l'Holiday Inn Express Dijon possède une piscine extérieure. Cet établissement climatisé propose une réception ouverte 24h/24, une terrasse bien exposée et un bar. Une bagagerie et une connexion Wi-Fi gratuite sont également disponibles.
Les chambres sont équipées d'une télévision par câble à écran plat et de la climatisation. Les salles de bains privatives sont pourvues d'une douche à l'italienne, d'un sèche-cheveux et d'articles de toilette gratuits.
Une bouilloire électrique est fournie dans chaque chambre. Un petit-déjeuner buffet est préparé tous les jours et vous trouverez des distributeurs automatiques de collations sur place.
L'hôtel se trouve à 3 km du centre de Dijon et à 4,6 km de la gare. L'établissement met un parking sécurisé à votre disposition gratuitement. ",47.3269991,5.07608727
